sku,name,cat,cost,old_web,new_v3_300,diff_pct,margin_old,margin_new,tier,note
DW019,"แก้วน้ำสแตนเลส รุ่น Swift",แก้ว & กระบอกน้ำ,50.5,180,82,-54.4,65.9,32.4,"50–300฿ 1.75×",""
DW020,"แก้วน้ำ รุ่่น Aura",แก้ว & กระบอกน้ำ,113.90625,160,185,15.6,22.8,32.4,"50–300฿ 1.75×",""
DW021,"กระบอกน้ำสแตนเลส รุ่น Noon",แก้ว & กระบอกน้ำ,85.5,175,139,-20.6,45.1,32.5,"50–300฿ 1.75×",""
DW022,"กระบอกน้ำสแตนเลส รุ่น Sento",แก้ว & กระบอกน้ำ,85.5,175,139,-20.6,45.1,32.5,"50–300฿ 1.75×",""
DW023,"กระบอกน้ำสแตนเลส รุ่น SORA",แก้ว & กระบอกน้ำ,135,175,220,25.7,16.9,32.6,"50–300฿ 1.75×",""
DW024,"แก้วน้ำสแตนเลส รุ่น Brewy mate",แก้ว & กระบอกน้ำ,75,180,122,-32.2,52.3,32.5,"50–300฿ 1.75×",""
DW025,"แก้วเชค รุ่น Booster",แก้ว & กระบอกน้ำ,31.5,160,69,-56.9,74.3,48.3,"20–50฿ 2.5×",""
DW026,"กระบอกน้ำพลาสติก รุ่น Clear",แก้ว & กระบอกน้ำ,27.999999999999996,160,62,-61.3,76.5,48.8,"20–50฿ 2.5×",""
DW027,"กระบอกน้ำพลาสติก รุ่น",แก้ว & กระบอกน้ำ,21.5,160,47,-70.6,80.6,48.3,"20–50฿ 2.5×",""
DW028,"แก้วเซรามิก รุ่น",แก้ว & กระบอกน้ำ,32.75,95,72,-24.2,59.5,48.5,"20–50฿ 2.5×",""
DW029,"แก้วน้ำพลาสติก รุ่น Daily",แก้ว & กระบอกน้ำ,7.5,100,26,-74,86.5,65.2,"ต่ำกว่า 20฿ 4×",""
SV001,"Magnetic Snaps",ของชำร่วย,54,90,88,-2.2,34,32.6,"50–300฿ 1.75×",""
SV002,"Figure รุ่น Create",ของชำร่วย,107.03198,90,174,93.3,-24.9,32.5,"50–300฿ 1.75×",""
SV003,"Figure รุ่น Craft",ของชำร่วย,150,90,244,171.1,-72.7,32.5,"50–300฿ 1.75×",""
SV004,"ตุ๊กตา รุ่น Tiny",ของชำร่วย,150,90,244,171.1,-72.7,32.5,"50–300฿ 1.75×",""
SV005,"ตุ๊กตาหมี รุ่น Teddy",ของชำร่วย,58.5,90,95,5.6,29,32.4,"50–300฿ 1.75×",""
SV006,"ตุ๊กตาหมี รุ่น  Hoppy",ของชำร่วย,102.5,90,167,85.6,-19.9,32.6,"50–300฿ 1.75×",""
SV007,"พวงกุญแจอะคริลิค รุ่น Twin Glow",ของชำร่วย,9.5,90,33,-63.3,83.4,65.2,"ต่ำกว่า 20฿ 4×",""
KC001,"กล่องอาหารพลาสติก รุ่น Fresh",ครัว & กล่องอาหาร,18,39,63,61.5,47.8,65.4,"ต่ำกว่า 20฿ 4×",""
KC002,"ถ้วยสลัด รุ่น Crisp",ครัว & กล่องอาหาร,29.5,120,65,-45.8,69.4,48.6,"20–50฿ 2.5×",""
ST001,"ปากกา รุ่น oxygen",เครื่องเขียน,7.4,16,26,62.5,47.8,65.5,"ต่ำกว่า 20฿ 4×",""
ST002,"ปากกา รุ่น eco",เครื่องเขียน,7.2,15,25,66.7,46,65.2,"ต่ำกว่า 20฿ 4×",""
ST003,"ปากกา รุ่น Luxe",เครื่องเขียน,7.65,18,27,50,51.5,65.7,"ต่ำกว่า 20฿ 4×",""
ST004,"ปากกา รุ่น Mira",เครื่องเขียน,10.25,22,36,63.6,47.4,65.5,"ต่ำกว่า 20฿ 4×",""
ST005,"ปากกา รุ่น Tekt",เครื่องเขียน,12.9,28,45,60.7,47.9,65.3,"ต่ำกว่า 20฿ 4×",""
ST006,"สมุดบันทึก รุ่น Idea",เครื่องเขียน,53.3,95,87,-8.4,37.9,32.7,"50–300฿ 1.75×",""
ST007,"สมุดบันทึก รุ่น Folio",เครื่องเขียน,58.849999999999994,105,96,-8.6,38,32.7,"50–300฿ 1.75×",""
ST008,"สมุดบันทึก รุ่น Muse",เครื่องเขียน,74,135,120,-11.1,39.2,32.3,"50–300฿ 1.75×",""
ST009,"Sticky Note รุ่น Cube",เครื่องเขียน,60.5,99,98,-1,32.9,32.3,"50–300฿ 1.75×",""
ST010,"Sticky Note รุ่น Memo",เครื่องเขียน,23,49,51,4.1,47.1,48.9,"20–50฿ 2.5×",""
ST011,"สมุดบันทึก รุ่น Moon",เครื่องเขียน,74,45,120,166.7,-70.4,32.3,"50–300฿ 1.75×",""
ST012,"สมุด รุ่น Bloom",เครื่องเขียน,94,45,153,240,-114.9,32.6,"50–300฿ 1.75×",""
ST013,"สมุด รุ่น Tone",เครื่องเขียน,32.5,45,72,60,21.8,48.9,"20–50฿ 2.5×",""
ST014,"ปากกา รุ่น Scope",เครื่องเขียน,9.5,45,33,-26.7,72.9,65.2,"ต่ำกว่า 20฿ 4×",""
ST015,"ปากกา รุ่น Writey",เครื่องเขียน,8.25,45,29,-35.6,75.7,65.6,"ต่ำกว่า 20฿ 4×",""
ST016,"ปากกา รุ่น Touch",เครื่องเขียน,7.95,45,28,-37.8,76.3,65.6,"ต่ำกว่า 20฿ 4×",""
ST017,"ปากกา รุ่น liner",เครื่องเขียน,7,45,25,-44.4,78.4,66,"ต่ำกว่า 20฿ 4×",""
ST018,"ปากกา รุ่น Bamboo",เครื่องเขียน,12.5,45,44,-2.2,66.2,65.6,"ต่ำกว่า 20฿ 4×",""
ST019,"แฟ้มหนัง รุ่น Soft",เครื่องเขียน,23.125,45,51,13.3,42.6,48.7,"20–50฿ 2.5×",""
ST020,"แฟ้มหนัง รุ่น Skin",เครื่องเขียน,23.125,45,51,13.3,42.6,48.7,"20–50฿ 2.5×",""
ST021,"แฟ้ม รุ่น Felt",เครื่องเขียน,15.1,45,53,17.8,60.4,65.5,"ต่ำกว่า 20฿ 4×",""
ST022,"แฟ้ม รุ่น Zippy",เครื่องเขียน,8.5,45,30,-33.3,75.1,65.7,"ต่ำกว่า 20฿ 4×",""
ST023,"แฟ้ม รุ่น Pock",เครื่องเขียน,87.5,45,142,215.6,-100.4,32.4,"50–300฿ 1.75×",""
BK001,"แก้วหัดดื่มเด็ก รุ่น Milk",เด็ก & เบบี๋,42.5,330,94,-71.5,81.1,48.8,"20–50฿ 2.5×",""
BK002,"แก้วหัดดื่มเด็ก รุ่น Munch",เด็ก & เบบี๋,44.5,330,98,-70.3,80.5,48.6,"20–50฿ 2.5×",""
BK003,"ผ้ากันเปื้อนเด็ก รุ่น Bibsy",เด็ก & เบบี๋,29.5,65,65,0,48.6,48.6,"20–50฿ 2.5×",""
BK004,"จานซิลิโคนเด็ก รุ่น Yum",เด็ก & เบบี๋,38.5,330,85,-74.2,82.3,48.7,"20–50฿ 2.5×",""
BK005,"กระบอกน้ำสแตนเลสเด็ก รุ่น Go",เด็ก & เบบี๋,112.5,175,183,4.6,29.7,32.5,"50–300฿ 1.75×",""
PK001,"ถุงสปันบอนด์ A",บรรจุภัณฑ์,4.75,70,17,-75.7,87.2,66.1,"ต่ำกว่า 20฿ 4×",""
PK002,"ถุงสปันบอนด์ B",บรรจุภัณฑ์,4.75,70,17,-75.7,87.2,66.1,"ต่ำกว่า 20฿ 4×",""
PK003,"ถุงสปันบอนด์ C",บรรจุภัณฑ์,5.65,70,20,-71.4,85.9,65.8,"ต่ำกว่า 20฿ 4×",""
PK004,"ถุงสปันบอนด์ D",บรรจุภัณฑ์,5.65,70,20,-71.4,85.9,65.8,"ต่ำกว่า 20฿ 4×",""
FN001,"พัดลมพกพา รุ่น Mini",พัดลมพกพา,27.705,70,61,-12.9,54.4,48.6,"20–50฿ 2.5×",""
FN002,"พัดลมพกพา รุ่น Beezy",พัดลมพกพา,46.25,103,102,-1,49.1,48.7,"20–50฿ 2.5×",""
FN003,"พัดลมพกพา รุ่น Neko",พัดลมพกพา,48,107,106,-0.9,49.1,48.7,"20–50฿ 2.5×",""
FN004,"พัดลมพกพา รุ่น Kuma",พัดลมพกพา,57.5,107,94,-12.1,40.3,32.8,"50–300฿ 1.75×",""
FN005,"พัดลมพกพา รุ่น Poco",พัดลมพกพา,38,85,84,-1.2,49.3,48.8,"20–50฿ 2.5×",""
FN006,"พัดลมพกพา รุ่น Mino",พัดลมพกพา,40.5,90,89,-1.1,49,48.5,"20–50฿ 2.5×",""
FN007,"พัดลมพกพา รุ่น Sola",พัดลมพกพา,42,94,92,-2.1,49.3,48.3,"20–50฿ 2.5×",""
FN008,"พัดลมพกพา รุ่น Haru",พัดลมพกพา,43,96,95,-1,49.2,48.7,"20–50฿ 2.5×",""
FN009,"พัดลมพกพา รุ่น Airo",พัดลมพกพา,48,107,106,-0.9,49.1,48.7,"20–50฿ 2.5×",""
FN010,"พัดลมพกพา รุ่น Nero",พัดลมพกพา,57,102,93,-8.8,38.1,32.7,"50–300฿ 1.75×",""
FN011,"พัดลมพกพา รุ่น Kiri",พัดลมพกพา,53,110,86,-21.8,45.8,32.4,"50–300฿ 1.75×",""
FN012,"พัดลมพกพา รุ่น Glacier",พัดลมพกพา,118,120,192,60,-4.3,32.5,"50–300฿ 1.75×",""
FN013,"พัดลมพกพา รุ่น Glacier Pro",พัดลมพกพา,148,120,241,100.8,-29.3,32.6,"50–300฿ 1.75×",""
FN014,"พัดลมพกพา รุ่น Airy",พัดลมพกพา,79.125,120,129,7.5,28.1,32.7,"50–300฿ 1.75×",""
FN015,"พัดลมพกพา รุ่น Joint",พัดลมพกพา,87.5,120,142,18.3,21.1,32.4,"50–300฿ 1.75×",""
FN016,"พัดลมพกพา รุ่น Ever",พัดลมพกพา,115,120,187,55.8,-1.8,32.5,"50–300฿ 1.75×",""
FN017,"พัดลมพกพา รุ่น Stage",พัดลมพกพา,115,120,187,55.8,-1.8,32.5,"50–300฿ 1.75×",""
FN018,"พัดลมพกพา รุ่น K801",พัดลมพกพา,145,120,236,96.7,-26.8,32.6,"50–300฿ 1.75×",""
FN019,"พัดสปริง รุ่น",พัดลมพกพา,16,120,56,-53.3,80.7,65.4,"ต่ำกว่า 20฿ 4×",""
UM001,"ร่ม Automatic รุ่น Lite",ร่ม,67.5,120,110,-8.3,37.8,32.6,"50–300฿ 1.75×",""
UM002,"ร่ม Automatic รุ่น Premium",ร่ม,87.5,160,142,-11.3,39.3,32.4,"50–300฿ 1.75×",""
UM003,"ร่ม Automatic รุ่น Elite",ร่ม,112.5,190,183,-3.7,34.8,32.5,"50–300฿ 1.75×",""
UM004,"ร่ม Automatic รุ่น Signature",ร่ม,147.5,230,240,4.3,29.9,32.5,"50–300฿ 1.75×",""
UM005,"ร่ม Automatic รุ่น Luxury",ร่ม,164.5,260,268,3.1,30.7,32.6,"50–300฿ 1.75×",""
UM008,"ร่มยาว AUTOMATIC รุ่น Hugie",ร่ม,87.5,190,142,-25.3,47.9,32.4,"50–300฿ 1.75×",""
UM009,"ร่ม Automatic รุ่น Go",ร่ม,87.5,190,142,-25.3,47.9,32.4,"50–300฿ 1.75×",""
UM010,"ร่ม Automatic รุ่น Baggy",ร่ม,79,190,129,-32.1,52.4,32.8,"50–300฿ 1.75×",""
UM011,"ร่ม Automatic รุ่น Capsule",ร่ม,71.5,190,116,-38.9,56.4,32.4,"50–300฿ 1.75×",""
LS001,"Card Holder รุ่น Wave",ไลฟ์สไตล์,18,39,63,61.5,47.8,65.4,"ต่ำกว่า 20฿ 4×",""
LS002,"Card Holder รุ่น Slim",ไลฟ์สไตล์,17.5,39,62,59,49.1,65.8,"ต่ำกว่า 20฿ 4×",""
LS003,"Card Holder รุ่น Mini",ไลฟ์สไตล์,17,38,60,57.9,49.3,65.7,"ต่ำกว่า 20฿ 4×",""
LS004,"Card Holder รุ่น Vario",ไลฟ์สไตล์,18,45,63,40,54,65.4,"ต่ำกว่า 20฿ 4×",""
LS005,"Card Holder รุ่น Pullo",ไลฟ์สไตล์,27,60,59,-1.7,49,48.2,"20–50฿ 2.5×",""
LS006,"Luggage Tag รุ่น Lugo",ไลฟ์สไตล์,16,36,56,55.6,49.6,65.4,"ต่ำกว่า 20฿ 4×",""
LS007,"Luggage Tag รุ่น Lugo Cover",ไลฟ์สไตล์,16,38,56,47.4,51.9,65.4,"ต่ำกว่า 20฿ 4×",""
LS008,"Luggage Tag รุ่น Aero",ไลฟ์สไตล์,14,32,49,53.1,50.2,65.4,"ต่ำกว่า 20฿ 4×",""
LS009,"Key Cover รุ่น Kino",ไลฟ์สไตล์,14,30,49,63.3,47.3,65.4,"ต่ำกว่า 20฿ 4×",""
LS010,"Key Cover รุ่น Kino Cover",ไลฟ์สไตล์,14,32,49,53.1,50.2,65.4,"ต่ำกว่า 20฿ 4×",""
LS011,"ซองใส่พาสปอร์ต Passport Cover",ไลฟ์สไตล์,25.5,59,56,-5.1,50.8,48.5,"20–50฿ 2.5×",""
LS012,"Smart Grip รุ่น Flex",ไลฟ์สไตล์,60.5,105,98,-6.7,36.4,32.3,"50–300฿ 1.75×",""
LS013,"Smart Grip รุ่น Tri-fold",ไลฟ์สไตล์,73,125,119,-4.8,35.6,32.7,"50–300฿ 1.75×",""
LS014,"กล่องจัดระเบียบ DRIVEBOX",ไลฟ์สไตล์,113.5,250,185,-26,48.6,32.6,"50–300฿ 1.75×",""
LS015,"เซตหมอนรองคอและหลัง ERGOREST",ไลฟ์สไตล์,120,320,195,-39.1,56.5,32.5,"50–300฿ 1.75×",""
LS016,"ผ้าเช็ดตัว รุ่น Raku",ไลฟ์สไตล์,143.5,110,234,112.7,-36.5,32.7,"50–300฿ 1.75×",""
LS017,"เซตหมอนรองคอและหลัง Sooty",ไลฟ์สไตล์,85,320,138,-56.9,67.4,32.4,"50–300฿ 1.75×",""
LS018,"กล่องหนังใส่ทิชชู่",ไลฟ์สไตล์,45,250,99,-60.4,76,48.5,"20–50฿ 2.5×",""
LS019,"กระเป๋าใส่ทิชชู่ในรถยนต์ NOVA",ไลฟ์สไตล์,38,250,84,-66.4,78.8,48.8,"20–50฿ 2.5×",""
LS020,"ผ้าไมโครไฟเบอร์เช็ดรถ SHINEPRO",ไลฟ์สไตล์,5.949999999999999,250,21,-91.6,91.6,65.7,"ต่ำกว่า 20฿ 4×","ต้นทุน 5.95 ต่ำผิดปกติเทียบราคาเดิม 250 — จัดซื้อยืนยัน"
LS022,"กรอบรูป CASA",ไลฟ์สไตล์,37.5,250,83,-66.8,79,48.8,"20–50฿ 2.5×",""
LS023,"นาฬิกาแขวนผนัง Haven",ไลฟ์สไตล์,73.5,250,120,-52,64.6,32.7,"50–300฿ 1.75×",""
LS029,"ถังเก็บความเย็น รุ่น Arctic Tank",ไลฟ์สไตล์,192.5,250,313,25.2,17,32.5,"50–300฿ 1.75×",""
LS030,"GRIPTOK รุ่น Grip it",ไลฟ์สไตล์,24.599999999999998,250,54,-78.4,84.2,48.4,"20–50฿ 2.5×",""
LS031,"ที่วางโทรศัพท์ รุ่น Hold",ไลฟ์สไตล์,50,250,81,-67.6,74,32.3,"50–300฿ 1.75×",""
LS032,"ที่วางโทรศัพท์ รุ่น Lock",ไลฟ์สไตล์,55,250,90,-64,72,32.9,"50–300฿ 1.75×",""
LS033,"ที่วางโทรศัพท์ รุ่น Grip",ไลฟ์สไตล์,61,250,99,-60.4,69.6,32.4,"50–300฿ 1.75×",""
LS034,"ที่วางโทรศัพท์ รุ่น VentX",ไลฟ์สไตล์,111,250,181,-27.6,49.6,32.7,"50–300฿ 1.75×",""
LS035,"กล่องเก็บความเย็น รุ่น Glint",ไลฟ์สไตล์,14.5,250,51,-79.6,88.2,65.6,"ต่ำกว่า 20฿ 4×",""
LS036,"กล่องเก็บความเย็น รุ่น Polar",ไลฟ์สไตล์,11,250,39,-84.4,89.6,65.8,"ต่ำกว่า 20฿ 4×",""
LS037,"ผ้าพันคอ รุ่น",ไลฟ์สไตล์,61.5,250,100,-60,69.4,32.5,"50–300฿ 1.75×",""
LS038,"กระเป๋าหนัง รุ่น",ไลฟ์สไตล์,37.5,250,83,-66.8,79,48.8,"20–50฿ 2.5×",""
LS040,"ผ้าคลุมโต๊ะ รุ่น FlexBack",ไลฟ์สไตล์,183.1712,250,298,19.2,20.7,32.5,"50–300฿ 1.75×",""
LS043,"ถังน้ำแข็ง รุ่น",ไลฟ์สไตล์,1247.5,250,1650,560,-405,18.4,"เกิน 1,000฿ 1.35×","ต้นทุน 1,247.5 สูงผิดปกติ (ต่อลัง?) — จัดซื้อยืนยัน"
LS044,"แผ่นยางรองแก้ว รุ่น Bove",ไลฟ์สไตล์,30.25,250,67,-73.2,81.9,48.9,"20–50฿ 2.5×",""
LS045,"เก้าอี้แคมปิ้ง รุ่น Seaty",ไลฟ์สไตล์,195,250,317,26.8,16,32.5,"50–300฿ 1.75×",""
LS046,"ผ้าห่ม รุ่น Fluffy",ไลฟ์สไตล์,62.5,350,102,-70.9,76.1,32.7,"50–300฿ 1.75×",""
LS047,"หมอนผ้าห่ม รุ่น cozy",ไลฟ์สไตล์,114,330,186,-43.6,59.5,32.7,"50–300฿ 1.75×",""
